Attendance,Study_Hours,Previous_Marks,Assignment_Marks,Internal_Marks,Final_Marks
87,2,36,48,63,55.2
84,10,87,69,52,95.5
58,6,54,78,60,73.5
54,5,93,88,96,92.6
68,5,81,89,43,78.05
61,1,37,44,67,48.8
83,4,84,65,82,83.15
78,2,89,55,86,76.9
66,3,84,65,65,73.35
67,7,35,71,98,80.25
57,5,35,42,84,63.45
50,8,64,78,75,85.05
50,4,57,51,76,65.8
55,10,91,97,88,100.0
53,4,59,90,80,75.65
82,10,82,75,67,98.65
70,10,52,77,71,89.25
64,8,51,40,73,75.15
95,8,39,65,67,79.7
92,10,58,57,77,91.85
63,6,78,84,56,81.65
88,8,86,65,92,99.0
99,4,50,76,36,66.05
75,8,49,73,82,85.05
97,1,44,49,70,58.05
52,1,55,86,45,55.75
63,2,45,94,75,66.5
80,8,58,95,76,91.4
50,8,78,77,35,79.05
99,6,77,59,82,88.25
85,3,49,85,37,62.7
76,7,52,90,60,81.0
98,2,81,87,54,75.9
93,10,94,63,79,100.0
66,5,86,88,98,92.8
91,3,82,86,51,77.2
91,9,49,86,83,93.3
96,6,49,91,95,89.05
54,7,81,51,81,83.85
76,2,81,64,53,67.75
89,5,63,93,40,75.85
100,4,45,71,76,73.7
99,9,63,40,70,86.25
63,2,88,47,76,70.25
63,6,58,72,85,80.5
95,1,90,42,42,63.15
84,8,73,88,77,95.35
89,7,93,68,44,86.85
94,8,65,86,45,86.05
61,3,30,63,86,61.25
70,7,45,70,37,68.25
53,2,49,81,96,68.85
100,8,36,43,73,76.65
92,1,60,97,42,64.7
92,4,93,58,51,78.05
77,4,32,63,41,56.0
76,3,42,53,55,57.35
63,5,33,61,60,61.55
96,7,71,96,43,86.65
53,6,63,98,78,83.95
54,1,46,71,76,58.1
89,4,83,65,75,82.0
79,3,58,82,37,63.9
80,3,34,48,63,56.55
58,1,59,61,66,58.1
66,10,39,51,56,75.8
80,7,84,42,75,85.35
75,4,54,69,74,71.75
91,7,80,87,69,93.3
82,5,33,93,41,66.05
63,8,43,57,88,79.75
66,4,62,69,89,76.55
71,5,38,93,79,75.4
56,1,84,94,75,74.15
76,9,50,87,100,95.8
58,4,79,64,93,80.45
53,8,82,78,51,84.9
57,3,57,79,66,66.95
75,2,51,93,42,61.65
50,6,82,65,51,75.85
62,6,68,89,70,83.0
75,7,48,40,88,76.65
100,5,56,41,84,76.0
94,7,55,61,69,81.05
75,10,90,49,56,92.05
80,3,44,88,82,72.3
81,8,57,71,71,85.2
90,7,33,46,47,65.35
86,7,34,77,49,71.75
78,8,89,67,66,92.3
61,5,55,73,88,77.25
82,6,56,77,70,80.0
78,6,76,68,69,83.35
94,8,64,44,93,89.35
53,9,36,62,40,68.15
56,7,58,71,65,77.25
79,2,69,69,35,61.1
71,3,55,70,74,68.65
92,3,66,46,40,61.8
87,3,73,98,66,80.05
81,9,56,61,48,80.15
78,5,44,42,73,66.55
69,1,76,57,55,61.3
58,3,45,92,79,69.35
87,9,65,41,86,89.25
97,5,47,59,65,71.7
75,3,38,59,56,57.45
63,9,55,44,46,73.25
70,7,40,99,48,75.3
80,6,73,44,91,83.45
87,8,91,57,100,100.0
73,2,46,81,40,56.95
61,4,78,55,58,70.05
82,1,54,99,75,70.05
100,7,41,47,89,79.95
80,4,91,97,46,82.2
71,6,76,66,89,86.9
87,5,54,42,82,73.15
94,2,73,66,53,68.45
72,7,31,84,36,66.9
87,6,95,85,41,86.8
82,9,48,73,39,78.05
79,1,92,64,48,67.25
90,6,54,49,36,66.5
60,9,52,59,50,75.9
57,5,35,66,74,65.75
50,8,43,48,54,67.5
93,2,51,59,69,64.3
51,1,54,89,58,59.15
50,2,54,68,64,59.3
57,9,34,87,79,82.9
56,10,80,52,62,88.3
84,2,36,93,73,66.25
89,8,65,81,88,95.05
83,8,95,83,50,94.05
73,8,68,51,42,76.05
100,7,70,66,96,94.2
51,7,52,67,57,71.9
100,7,80,67,58,87.9
76,2,46,66,93,67.65
65,5,35,70,43,60.0
51,4,65,79,65,71.2
51,1,56,81,86,65.15
56,4,32,44,69,56.05
81,4,57,85,91,81.0
61,1,75,74,64,65.45
52,1,59,78,43,54.85
61,9,75,97,83,98.8
95,8,45,44,70,78.05
84,2,42,78,82,67.3
64,1,82,74,40,62.0
63,9,38,88,86,86.95
92,6,68,87,44,80.6
93,7,95,53,90,96.55
57,8,88,84,40,85.75
56,8,62,77,73,84.65
68,5,82,94,46,80.1
81,5,46,59,74,71.25
65,7,62,51,40,69.55
88,4,63,97,86,85.0
54,4,94,75,36,72.3
51,1,65,46,50,51.85
72,8,56,45,82,81.1
93,10,57,41,57,83.5
63,4,89,91,57,80.6
86,5,54,86,73,79.55
83,1,36,52,87,58.4
70,1,42,90,77,63.35
97,9,38,93,63,87.3
51,3,62,69,61,64.3
57,10,81,57,45,85.5
76,9,38,98,68,86.4
62,7,42,50,75,71.65
88,10,67,74,70,95.6
72,3,49,46,88,65.7
54,3,91,81,50,73.1
90,10,47,87,81,95.25
58,1,85,79,66,69.5
76,4,95,49,56,75.7
69,7,66,49,87,82.7
94,3,48,67,51,63.65
65,7,50,68,92,82.35
87,9,67,63,82,93.25
83,5,74,50,57,73.9
94,1,49,83,100,73.4
92,10,50,100,78,98.3
78,2,76,66,65,69.95
68,8,69,96,100,99.1
84,2,39,63,47,54.65
53,6,51,43,83,70.6
100,5,62,42,94,80.5
99,2,37,86,58,63.65
66,6,42,84,91,80.05
63,9,86,77,74,96.15
51,9,52,71,80,84.45
79,7,85,95,93,100.0
71,9,46,83,76,87.05
65,9,50,51,48,73.95
62,3,80,43,36,59.9
81,3,42,99,46,65.05
57,9,93,50,88,95.45
78,7,63,93,49,82.45
63,4,78,52,43,66.0
64,5,55,94,80,79.9
77,1,65,41,68,59.25
67,1,40,94,49,56.1
89,5,76,63,94,87.25
51,8,61,92,92,91.35
71,5,61,83,77,79.8
96,4,37,63,67,66.85
93,4,82,43,97,83.4
89,8,30,70,50,72.85
90,10,86,100,63,100.0
66,3,34,83,40,55.7
87,2,55,79,86,72.85
80,5,66,50,41,67.05
88,2,33,56,100,65.3
52,9,55,56,76,81.5
83,1,87,61,79,73.5
97,6,92,46,62,84.85
78,8,36,92,59,79.65
80,3,71,98,75,80.65
60,1,30,54,37,41.05
74,5,56,76,39,67.85
80,3,38,83,82,69.5
84,2,77,83,44,69.3
59,3,60,81,77,71.3
81,10,37,62,35,74.4
76,10,71,40,42,81.2
95,7,65,40,60,77.75
68,2,75,82,71,72.85
69,1,49,52,59,53.2
68,5,62,49,62,69.1
84,8,44,53,70,77.9
63,8,39,67,65,74.8
83,5,63,64,97,83.4
91,2,40,54,97,66.7
61,9,81,79,35,85.0
67,3,62,82,60,69.05
61,9,79,41,45,79.3
51,7,62,95,53,79.5
97,3,78,88,97,88.8
66,10,33,88,38,76.9
71,5,79,63,37,71.2
72,1,92,82,91,80.55
58,5,33,55,47,56.35
85,10,91,98,57,100.0
67,7,34,75,85,77.5
70,9,60,95,58,89.0
80,6,47,71,46,69.8
76,8,65,76,49,82.35
86,6,90,64,63,86.45
95,6,83,76,90,94.85
72,1,30,47,79,51.95
76,3,80,44,73,71.45
75,1,70,61,66,63.95
76,5,52,80,35,66.75
92,2,87,90,76,82.9
61,4,68,56,95,76.5
58,5,63,85,63,75.35
58,6,52,78,84,78.9
62,2,62,76,35,57.85
100,9,48,45,63,81.15
53,5,33,95,86,73.35
63,6,77,94,50,81.85
52,9,51,43,74,77.2
60,9,55,62,78,84.4
55,6,49,85,94,81.45
98,6,80,70,95,94.45
80,7,71,54,80,85.1
97,9,49,47,79,85.4
83,6,69,61,73,81.6
67,9,61,80,42,81.85
83,3,55,41,70,63.65
83,5,50,88,97,84.3
66,3,63,77,93,76.45
68,9,76,63,44,83.6
57,3,52,98,74,71.25
57,3,69,58,46,61.35
51,2,82,66,54,64.95
70,3,30,56,90,62.2
74,8,31,43,36,62.0
55,8,69,65,80,85.95
56,6,55,64,68,72.7
54,2,91,52,77,71.05
99,3,57,49,77,70.0
85,2,93,49,80,76.45
60,5,75,52,37,66.15
94,5,46,49,58,67.2
65,10,91,66,59,95.0
91,7,47,90,46,78.25
54,7,78,58,96,88.1
98,4,50,45,77,69.95
52,6,37,95,56,69.9
88,3,84,44,97,80.45
67,8,68,88,74,90.55
59,3,32,96,59,61.4
81,1,46,51,49,51.4
60,10,95,84,57,98.55
100,2,66,74,66,72.1
94,3,31,77,83,68.55
96,8,53,49,90,86.6
83,7,89,75,82,95.65
72,6,48,57,47,66.35
66,5,50,51,41,60.35
64,9,38,86,88,87.2
69,10,92,93,75,100.0
63,10,77,57,61,89.2
75,10,41,49,49,75.6
89,2,71,83,49,69.5
97,8,52,66,73,85.6
50,6,88,54,37,71.95
78,9,47,58,88,86.4
79,5,36,43,44,57.25
53,8,91,78,40,84.85
75,6,44,79,84,79.25
79,7,41,47,51,67.3
74,3,65,53,64,66.2
92,1,56,57,97,69.25
62,9,67,77,98,96.3
98,1,74,62,48,64.3
70,5,84,40,100,83.7
88,4,49,70,52,66.9
96,9,50,84,77,92.45
